%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1580139861733254959,5749,1580139861730731964,/fgps,1,13,45.6216561271,9.28155230131,224.616616895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139861824036120,5750,1580139861825112104,/fgps,1,13,45.6216675227,9.28155313222,224.573795831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139861927097302,5751,1580139861928652048,/fgps,1,12,45.6216788037,9.28155403644,224.543036391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862045383999,5752,1580139862046585083,/fgps,1,11,45.6216905829,9.28155530558,224.550781938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862121071091,5753,1580139862121618986,/fgps,1,11,45.6217023349,9.28155663185,224.56813197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862236319009,5754,1580139862233565092,/fgps,1,11,45.6217143498,9.28155757952,224.414933871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862327174349,5755,1580139862327951908,/fgps,1,11,45.6217263434,9.28155858136,224.290747144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862430408533,5756,1580139862428323030,/fgps,1,11,45.621738402,9.28155965738,224.179082617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862530530506,5757,1580139862528309106,/fgps,1,11,45.6217503261,9.28156072282,224.1184733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862627365222,5758,1580139862628959894,/fgps,1,11,45.6217622451,9.28156178808,224.052006332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862727429138,5759,1580139862731652021,/fgps,1,11,45.6217740327,9.28156289839,224.003342211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862833827620,5760,1580139862834690093,/fgps,1,12,45.6217856753,9.28156389239,223.967440973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139862927395880,5761,1580139862928476095,/fgps,1,12,45.6217972468,9.28156474038,223.930695972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139863031132224,5762,1580139863033174991,/fgps,1,12,45.6218088234,9.28156571029,223.878943717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139863131229571,5763,1580139863129097938,/fgps,1,12,45.6218202994,9.28156654731,223.87187066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139863234718519,5764,1580139863233294010,/fgps,1,12,45.6218317082,9.28156745447,223.844200836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139863328046832,5765,1580139863328819990,/fgps,1,12,45.6218430185,9.28156867079,223.856060679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139863424851680,5766,1580139863427392959,/fgps,1,12,45.6218542738,9.281569934,223.849344292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139863527643982,5767,1580139863528740882,/fgps,1,12,45.6218654127,9.28157110211,223.838472315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139863630865890,5768,1580139863628839969,/fgps,1,12,45.6218766007,9.28157229192,223.838337872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139863730894072,5769,1580139863731475114,/fgps,1,12,45.6218877915,9.28157345448,223.83163152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
