%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1580139967795710625,219,1580139967798796892,/rgps,6,15,45.6236931067,9.2817983898,229.628157494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139967876581673,220,1580139967877914905,/rgps,6,15,45.6237020036,9.28179937461,229.630910941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139967971207532,221,1580139967974426031,/rgps,6,15,45.6237109429,9.28180034182,229.630555302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968080436395,222,1580139968083091974,/rgps,6,15,45.6237199454,9.28180131481,229.632830469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968177483704,223,1580139968177479028,/rgps,6,15,45.6237289921,9.28180230598,229.632347874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968295744384,224,1580139968293493986,/rgps,6,15,45.6237380142,9.2818033867,229.63960274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968389867586,225,1580139968390779972,/rgps,6,15,45.6237470599,9.28180441513,229.650657585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968480893577,226,1580139968483114957,/rgps,6,15,45.623756207,9.2818054624,229.655141371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968568841564,227,1580139968570138931,/rgps,6,15,45.6237653744,9.28180652408,229.655621733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968681202837,228,1580139968681432008,/rgps,6,15,45.6237745507,9.28180761993,229.663119423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968793729707,229,1580139968795464038,/rgps,6,15,45.6237837832,9.28180870583,229.662109248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968875659074,230,1580139968875607967,/rgps,6,15,45.6237930322,9.28180977676,229.670668773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139968975323153,231,1580139968977857112,/rgps,6,15,45.6238022626,9.2818108717,229.680141849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
